nama_pengguna,tanggal,ulasan,label_sentimen,nama_layanan kesehatan
Maulidia 123,sebulan lalu,"Nenek saya di rawat di Ruang Lily L3 Pelayanan nya sangat Baik dan ramah
Perawatnya Pun baik Dan juga Gercep menangani Pasien
Tempatnya juga Bersih sehingga nyaman
Semoga RSUD Syamrabu tambah jaya",positif,RS Rato Ebu
Atika Siskawati,2 bulan lalu,"Pasien Adik saya Hasyim dirawat di ICU karena mengalami kecelakaan. Selama 4 hari dirawat di ICU. Pelayanan yang diberikan sudah bagus, informasi yang diberikan juga sudah cukup jelas. Perawat yang ramah. Semoga Syamrabu tambah baik dalam segala aspek pelayanan kesehatannya.",positif,RS Rato Ebu
Khusnul Khotimah,sebulan lalu,"Pelayanannya bagus sekali. Apalagi ruang edelweis bersama dokter mega bagus skli pelayanannya, perawatnya jg ramah2. Smoga sehat selalu.",positif,RS Rato Ebu
dewi kayla,2 minggu lalu,"Rumah sakit Bangkalan sekarang best banget, pelayanan sat set. Di IGD juga Masya Allah semuanya pada sat set dan ramah2 semuanya nakesnya...
terima kasih pelayannya dan bener2 sangat memuaskan..
Terima kasih para nakes yang selalu ready walaupun masih musim lebaran. Sehat2 buat nakes semua di rumah sakit Syamrabu... Tetap dijaga pelayanannya dan salam sehat selalu",positif,RS Rato Ebu
Bayu Aji Catur Pamungkas,3 bulan lalu,"Alhamdulillah, Istri saya muftia tsabita di rawat d ruangan Camelia .
Pelayanannya Sangat Baik , Ramah , senyum .
Untuk perawatnya , sangat baik , ramah, senyum ,
Untuk kamarnya sangat bagus , rapi, bersih .
Pelayanannya Cepat banget
Sat set set ..
Sangat berterimakasih yang merawat Istri saya dengan sangat baik sesuai dengan slogannya BERTASBIH .
Semoga semakin Jaya ..",positif,RS Rato Ebu
Azril Maulana,3 bulan lalu,"Sya suami sitifarrohah dirawat diruang camelia dokter, bidan dan perawatx terbaik pelayanannya,, trimakasih para dokter dan smw staf RS bangkalan sdh brikan pelayanan terbaik kpda kami smoga trus bertahan dg pelayanan yg trbaik",positif,RS Rato Ebu
Abdul Hakim,3 bulan lalu,"Kamis, 23 Januari 2025.
Adek Caca lahir di Rumah Sakit ini. Di ruang Camelia lantai 3. Alhamdulillah lahir (caesar) dengan selamat, anak dan ibu selamat.",positif,RS Rato Ebu
Hafidh Wahyudi,2 minggu lalu,"Terimakasih.sudah merawat anak saya Muhammad syaqiel alghifari,dirawat diruangan edelweis,
Pelayanan nya sangat bagus, perawatnya jg baik² dan sabar dan telaten, padahal saya pasien bpjs.
TDK memilih pakai BPJS atau umum. Semua sama rata. Sehat selalu ya perawat",positif,RS Rato Ebu
Fatimatus Zahroh,seminggu lalu,"Saya keluarga dari ibu rohena di rawat di ruang flamboyan.
Pelayanan nya bagus...
Dokter dan perawat nya juga baik dan ramah
Office nya juga baik dan ramah..
Alhamdulillah cuma 5 hari ibu saya sudh membaik...

Terimakasih RSUD syarifah ambani rato ebu",positif,RS Rato Ebu
Elang channel,8 bulan lalu,"Alhamdulillah, Istri saya Vina DA di rawat d ruangan Camelia .
Dokter Desak Pelayanannya Sangat Baik , Ramah , senyum .
Untuk perawatnya , sangat baik , ramah, senyum ,
Untuk kamarnya sangat bagus , rapi, bersih .
Pelayanannya Cepat banget
Sat set set ..
Sangat berterimakasih yang merawat Istri saya dengan sangat baik sesuai dengan slogannya BERTASBIH .
Semoga semakin Jaya ..",positif,RS Rato Ebu
,,,,RS Rato Ebu
Samanten Bkl,sebulan lalu,Anak Rayyan Argantara Ruang Edelweis terima kasih kepada perawat semuanya sudah memberikan yg terbaik untuk anak saya dari yg sakitnya darurat sampai tuntas semua pokoknya terima kasih untuk semua perawat dan dokter,positif,RS Rato Ebu
Nurul Zainab,3 bulan lalu,"Selama kami dirawat di ICU Syamrabu pelayanannnya sangat baik, kamar mandi keluarga pasien ICU juga bersih",positif,RS Rato Ebu
Maryam Margareta,seminggu lalu,"Pelayanan dan fasilitas sangat bagus, dr pasien ibuk timayyah dr kamar Camelia,selaku keluarga pasien saya mengucapkan banyak"" terimakasih banyak atas pelayanannya",positif,RS Rato Ebu
Annisa Assyifa,8 bulan lalu,"Keluarga dari ayra syarifah dari doro agung di rawat d ruangan edelweis .
Saya di rawat Dokter Indah Pelayanannya Sangat Baik , Ramah , senyum .
Untuk perawatnya , sangat baik , ramah, senyum ,
Untuk kamarnya sangat bagus , rapi, bersih .
Pelayanannya Cepat banget
Sat set set ..
Sangat berterimakasih yang merawat anak saya .
Semoga semakin Jaya ..",positif,RS Rato Ebu
Alfa Alfia,sebulan lalu,Anak arkhan ruang anak. Terima kasih banyak atas pelayanannya. Alhamdulillah anak saya kembali sehat dan ceria lagi. Kualitas pelayanan BPJS disini bagus.,positif,RS Rato Ebu
Nayla Mafada,sebulan lalu,"Saya ibu by.ny Amina, terimakasih ruang Melati sudah merawat anak saya sampai sembuh, bisa pulang dengan sehat, pelayanannya sangat memuaskan dan perawatnya eamah2. Terimakasih ruang Melati atas perawatannya selama anak saya sakit .",positif,RS Rato Ebu
Watik Watik,6 bulan lalu,"Saya keluarga pasien atas nama tn.sabrun di kamar 108 ruangan dahlia perawatnya luar biasa, saya sharing dengan biaya terjangkau. Perawatmya ramah, terimakasih syamrabu . Paviliun tercinta",positif,RS Rato Ebu
Usna Wati,sebulan lalu,"Sy keluarga dari pasien ibu usnawati yg dirawat di ruang flamboyan merasa puas atas pelayanan yg diberikan oleh petugas yg berjaga diruangan tersebut, pelayanannya ramah dan cepat, untuk kedepannya semoga ruangan flamboyan lebih baik lagi dan memuaskan, terimakasih",positif,RS Rato Ebu
Cha Taufik,setahun lalu,"RSUD ini terlihat semakin meningkatkan pelayanan terhadap pasien. Perawat ramah. Pelayanan ambulance care cepat dan tanggap. Kebersihan selalu dijaga. Taman semakin indah, ini berguna meningkatkan kenyamanan dan mood pasien. Tentu ada beberapa hal yang perlu ditingkatkan seperti SDM perawat, sistim antre untuk daftar, dan keramahan petugas keamanan dalam meladeni pengunjung RSUD",positif,RS Rato Ebu
Abdulloh Ibrahim,2 minggu lalu,"Rumah sakit bagus, fasilitas toilet agak kurang, mau pipis aja ngantri karna jarang ada toilet pipis,, jadi harus antri di WC smua hanya sekedar pipis",positif,RS Rato Ebu
Nafia Kayla,4 minggu lalu,"Alhamdulillah saya keluarga ibu Nafiyah dari ruang ICU tulip sudah dirawat selama 2hr untuk pelayanan bagus terimakasih kepada ICU, dokter dan perawatny baik dan cekatan smoga para perawat diberikan kesehatan",positif,RS Rato Ebu
syahril syahrilhidayat,2 bulan lalu,saya keluarga dari bapak ACH Djunaidi di rawat di ruang ICU selama 2 hari perawatan di ruang ICU sangat bagus sistem kunjungan juga bagus jadi di dalam ruangan kalo mau masuk kita harus ganti sandal yg telah di sediakan perawatnya telaten dan sabar terus tingkatkan yg terbaik untuk kami terimakasih,positif,RS Rato Ebu
Suci nur Ariyana,2 minggu lalu,Mohammad Rizky abdullatif saya di rawat di ruang edelwis dari masuk sampai pulang Alhamdulillah saya puas dengan pelayanannya terima kasih banyak dokter dan perawat semoga sehat selalu,positif,RS Rato Ebu
Ismiyatul Hasanah,sebulan lalu,"Saya ibu bayi nyonya ismiyatul, trtimakasi Ruang Melati sudah merawat anak saya sampai anak saya pulanh sembuh sehat. Perawatnyasangat ramah2, pelayanannya memuaskan. Terimakasih ruang Melati",positif,RS Rato Ebu
Hana Angelo,sebulan lalu,"Bayi saya di rawat dirumah sakit melati alhmdulillah pelayanan nya baik,
Saya banyak ber terimakasih karna bayi saya sudah dirawat sampai sembuh, sehat, dan semoga rumah sakit rsud syarifah ambani rato ratu ebu semakin maju dan sukses, Amiieennnnnn",positif,RS Rato Ebu
,,,,RS Rato Ebu
Lita Kusuma Agustini,sebulan lalu,"saya lita kusuma agustini saya di rawat di ruang camelia. pelayanannya cukup memuaskan mulai dr bidannya ramah², dokternya juga baik semuanya. semoga jaya selalu rsud",positif,RS Rato Ebu
Nurul Aini,sebulan lalu,"Saya keluarga dari ibu homsatun di rawat di R. Lily,, selama di rawat allhamdulillah perawatannya sangat memuaskan dan semua petugas ramah.terima kasih banyak,,semoga Allah membalas kebaikannya,, amien",positif,RS Rato Ebu
Bila Ramadhani,8 bulan lalu,"Saya keluarga dari pasien a/n Rahmat Aditya dari kamar 101 Paviluin Dahlia , kami sangat puas atas pelayanan yg kami di terima di RSUD Syarifah Ambami Rato Ebhu Bangkalan Khususnya di Paviliun Dahlia kami harap pelayanan prima akan terus di pertahankan ⭐️⭐️⭐️⭐️⭐️",positif,RS Rato Ebu
Mut Mainnah,2 bulan lalu,"Ank saya diruang edelweis dg dr.mega.
Perawatannya sangat memuaskan, selain cantik dokternya juga sangat baik dan ramah begitupun dengan para perawatnya, ramah, sigap dan tanggap.
Selama 7 hari disini, saya merasa sangat puas atas pelayanan dan perawatan tim nakesnya.",positif,RS Rato Ebu
Miqdad Fatir,10 bulan lalu,"Saya suami nyonya an'ghom dari blega yg melahirkan di ruang camelia. Saya ucapkan terima kasih meskipun pelayanan di ruang camelia kurang ramah dan yang jaga kurang pengalaman kayak masih belajar gitu.Istri saya baru pertama melahirkan, waktu itu kesakitan hebat teriak2 tapi yg jaga bilang biasa dan tidak di hiraukan.karena ini pertama kalinya saya panik takut kenapa2 ya sampai2 istri saya bilang mau eek sama yg jaga gak boleh eek. padahal kalau mau eek itu berarti sudah waktunya bayinya keluar, aslinya bukan mau eek beneran. Buktinya ketika yg jaga itu bilang ke dokternya kalau istri saya mau eek dokternya langsung menangani lahirannya dan alhamdulillah melahirkan dengan selamat meskipun dokter ibu berkaca mata itu tidak begitu ramah menangani pasien.dokter itu seharusnya melayani dengan lemah lembut karena itu tuntutan pekerjaan dan di gaji.tapi gak semuanya kok, pelayanannya disana ada yg baik dan ramah. Saya ucapkan Terima kasih atas bantuan kalian semua dan saya tidak mengeluarkan biaya sedikitpun.maaf saya menilai apa adanya supaya kedepannya lebih baik",positif,RS Rato Ebu
Sulfia Rukmana,seminggu lalu,"Saya orang tua by. Sulfia yg dirawat diruang melati
Pelayanannya sangat bagus dan perawatnya sangat ramah serta dokternya juga ramah",positif,RS Rato Ebu
Zammil,sebulan lalu,"Nama helmiyah
Kamar Camelia
Pelayanan sangat baik
Dokter bertanggung jawab baik dalam melayani pasien ramah dan memuaskan pasien
Perawatan nya baik sekali sangat puas dalam kujungan d RSUD Syarifah Ambami Rato Embu
Lingkungan yg bersih sehat dan nyaman",positif,RS Rato Ebu
Us Mah,seminggu lalu,"Nama: insiyah
Ruangan camelia
Alhamdulillah pelayanan bagus banget dan dokter"" nya sangat ramah dan baik"" saya sngt puas dengan pelayanan ini",positif,RS Rato Ebu
Zuriyah Ulum Misbah,4 hari lalu,"Nama pasien:Zuriyah ulum misbah
Selama opname disini 1 minggu bidan dan dokternya ramah-ramah",positif,RS Rato Ebu
,,,,RS Rato Ebu
Dwi Yunita,sebulan lalu,"Alhamdulillah saya pasien di RSUD . Selama beberapa hari mrs disini pelayanannya baik, perawat/bidannya ramah sopan melayani dg setulus hati . Terimakasih semoga RSUD semakin jaya",positif,RS Rato Ebu
Ikrom Maulana,sebulan lalu,"Alhamdulillah bagus banget pelayanannya di ruang melati, bayi saya dirawat selama 23hari Alhamdulillah bisa pulang dengan kondisi sehat, semoga terus sehat, terima kasih perawat dan dokter ruang melati",positif,RS Rato Ebu
,,,,RS Rato Ebu
samsul mancok,3 bulan lalu,"Saya dari kluarga besar ibu supiyah yang
Di rawat di ICU Mengucapkan banyak terima kasih kepada semua perawat yang telah memperlakukan mama sya seperty orang tuanya sendiri...
Saya selaku anaknya,Cukup puas dengan pelayanannya Yang sangat baik Dan semua perawatnya yang rama.
Dan saya juga bertrimakasi kepada.Dr ZAINAL
SAYA DR KLUARAGA BESAR IBU SUPIYAH SANGAT BERTRIMA KASIH BANYAK ATAS SEMUANYA..",positif,RS Rato Ebu
Uswah Hasanah,sebulan lalu,"Perawatan di ruang melati sangat memuaskan utk anak saya yg lahir prematur, seluruh petugasnya baik & ramah, pertahankan selalu ya ..",positif,RS Rato Ebu
sazia elmera,3 bulan lalu,"Pengalaman anak saya waktu opname di RSUD Syamrabu Bangkalan, sangat memuaskan .
Waktu itu anak saya mengalami panas selama 3hari naik turun, anak saya bernama Azzalea umur 8tahun,langsung saya bawa ke RSUD Syamrabu Bangkalan, disana anak saya lngsung ditanganin dg cepat oleh petugasnya, setelah itu anak saya positif opname RS Syamrabu ruangan Edelweis antara 2, Alhamdulillah sehari dirawat di RS anak saya mulai mendingan suhu tubuhnya sudah stabil, anak saya ditangani oleh Dokter Mega Malinda .penangan dan perawatan di RS ini benar² Oke , perawatnya ramah² dan murah senyum , begitu juga dokternya cantik dan baik, saya puas mendapatkan pelayanan di RSUD Syamrabu Bangkalan. Semoga Anak saya kondisinya terus membaik .. Aamiiinn .
Terimakasih Dokter Mega Malinda dan seluruh perawat RSUD Syamrabu ..",positif,RS Rato Ebu
Ima Roh,sebulan lalu,"Saya dari kluarga imam wahyudi di rawat di ruangan flamboyan, masya allah, baik dokter atau perawatnya bnar2 bisa di andalkan, kalo ada keluhan langsung di tangani dan semuanya ramah ramah",positif,RS Rato Ebu
,,,,RS Rato Ebu
Jelin Lintang,seminggu lalu,"saya orang tua by. mumayyizah yg dirawat diruang melati
pelayanan sangat bagus, perawat dan badannya baik, perhatian, telaten merawat bayi saya
terimakasih banyak",positif,RS Rato Ebu
Bambang Irianto,sebulan lalu,Sayaaa Anisa di rawat drruangan cameliiia dirawat sama bidan2 ramah dan baik hati . Fast respon juga kalo ada keluhan dokternya juga super humble dr desakk kesayangan aku 😍,positif,RS Rato Ebu
